,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
616,,,,P.S. 089 CYPRESS HILLS,331900010089,19K089,19,40.677777,-73.886699,"265 WARWICK ST BROOKLYN, NY 11207",BROOKLYN,11207,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.824,38667.98,0.95,0.1,0.83,Approaching Target,0.85,Exceeding Target,0.91,Exceeding Target,0.72,Approaching Target,0.85,Meeting Target,0.9,Meeting Target,Meeting Target,2.2,2.27
619,,,,P.S. 158 WARWICK,331900010158,19K158,19,40.672588,-73.885197,"400 ASHFORD ST BROOKLYN, NY 11207",BROOKLYN,11207,"PK,0K,01,02,03,04,05",PK,5,Yes,0.877,34815.04,0.9,0.39,0.93,Meeting Target,0.94,Meeting Target,0.92,Meeting Target,0.89,Exceeding Target,0.89,Meeting Target,0.96,Exceeding Target,Meeting Target,2.24,2.29
623,,,,P.S. 202 ERNEST S. JENKYNS,331900010202,19K202,19,40.666256,-73.876405,"982 HEGEMAN AVE BROOKLYN, NY 11208",BROOKLYN,11208,"0K,01,02,03,04,05",0K,5,No,0.867,30071.23,0.89,0.48,0.86,Approaching Target,0.71,Approaching Target,0.78,Approaching Target,0.61,Not Meeting Target,0.77,Not Meeting Target,0.76,Not Meeting Target,Approaching Target,2.18,2.22
624,,,,P.S. 213 NEW LOTS,331900010213,19K213,19,40.660048,-73.890219,"580 HEGEMAN AVE BROOKLYN, NY 11207",BROOKLYN,11207,"PK,0K,01,02,03,04,05",PK,5,No,0.833,33621.06,0.9,0.41,0.88,Approaching Target,0.72,Approaching Target,0.85,Approaching Target,0.59,Not Meeting Target,0.79,Not Meeting Target,0.75,Not Meeting Target,Meeting Target,2.11,2.18
626,,,,J.H.S. 218 JAMES P. SINNOTT,331900010218,19K218,19,40.670064,-73.874556,"370 FOUNTAIN AVE BROOKLYN, NY 11208",BROOKLYN,11208,"06,07,08",6,8,No,0.857,,0.89,0.41,0.87,Approaching Target,0.85,Approaching Target,0.82,Approaching Target,0.8,Meeting Target,0.79,Meeting Target,0.89,Meeting Target,Meeting Target,2.16,2.14
631,,,,P.S. 306 ETHAN ALLEN,331900010306,19K306,19,40.655261,-73.886334,"970 VERMONT ST BROOKLYN, NY 11207",BROOKLYN,11207,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.875,30491.71,0.86,0.57,0.85,Approaching Target,0.68,Not Meeting Target,0.78,Approaching Target,0.5,Not Meeting Target,0.81,Approaching Target,0.75,Not Meeting Target,Approaching Target,2.12,2.04
632,,,,ESSENCE SCHOOL,331900010311,19K311,19,40.662265,-73.894749,"590 SHEFFIELD AVE BROOKLYN, NY 11207",BROOKLYN,11207,"06,07,08",6,8,Yes,0.783,,0.9,0.31,0.83,Approaching Target,0.96,Meeting Target,0.78,Approaching Target,0.91,Meeting Target,0.84,Meeting Target,0.92,Meeting Target,Not Meeting Target,1.95,1.9
633,,,,THE FRESH CREEK SCHOOL,331900010325,19K325,19,40.65401,-73.894627,"875 WILLIAMS RD BROOKLYN, NY 11207",BROOKLYN,11207,"PK,0K,01,02,03,04,05",PK,5,No,0.845,28849.37,0.92,0.36,0.83,Approaching Target,0.83,Approaching Target,0.92,Meeting Target,0.78,Approaching Target,0.82,Approaching Target,0.84,Approaching Target,Approaching Target,2.04,2.12
634,,,,P.S. 328 PHYLLIS WHEATLEY,331900010328,19K328,19,40.667817,-73.898173,"330 ALABAMA AVE BROOKLYN, NY 11207",BROOKLYN,11207,"PK,0K,01,02,03,04,05",PK,5,Yes,0.931,20613.17,0.88,0.51,0.85,Approaching Target,0.91,Approaching Target,0.92,Approaching Target,0.84,Meeting Target,0.84,Meeting Target,0.92,Meeting Target,Meeting Target,2.11,2.22
638,,,,ACADEMY FOR YOUNG WRITERS,331900011404,19K404,19,40.6573,-73.874138,"1065 ELTON ST BROOKLYN, NY 11208",BROOKLYN,11208,"06,07,08,09,10,11,12",6,12,Yes,0.705,,0.9,0.39,0.71,Meeting Target,0.85,Exceeding Target,0.78,Meeting Target,0.87,Meeting Target,0.75,Approaching Target,0.92,Meeting Target,Approaching Target,2.16,1.98
643,,,,VAN SICLEN COMMUNITY MIDDLE SCHOOL,331900010654,19K654,19,40.659637,-73.885597,"800 VAN SICLEN AVE BROOKLYN, NY 11207",BROOKLYN,11207,"06,07,08",6,8,No,0.78,,0.9,0.33,0.86,Meeting Target,0.96,Meeting Target,0.83,Meeting Target,0.93,Exceeding Target,0.8,Meeting Target,0.95,Exceeding Target,Approaching Target,1.96,1.95
646,,,,SCHOOL OF THE FUTURE BROOKLYN,331900010663,19K663,19,40.665557,-73.897641,"574 DUMONT AVE BROOKLYN, NY 11207",BROOKLYN,11207,"06,07,08",6,8,No,0.891,,0.94,0.16,0.88,Meeting Target,0.97,Exceeding Target,0.83,Meeting Target,0.94,Exceeding Target,0.85,Meeting Target,0.93,Meeting Target,Meeting Target,2.19,2.2
648,,,,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,331900010678,19K678,19,40.669568,-73.879189,"605 SHEPHERD AVE BROOKLYN, NY 11208",BROOKLYN,11208,"06,07,08",6,8,No,0.845,,0.92,0.32,0.86,Meeting Target,0.96,Meeting Target,0.93,Meeting Target,0.91,Exceeding Target,0.83,Meeting Target,0.96,Exceeding Target,Approaching Target,2.19,2.07
714,,,,P.S. 288 THE SHIRLEY TANYHILL,332100010288,21K288,21,40.57427,-73.992477,"2950 W 25TH ST BROOKLYN, NY 11224",BROOKLYN,11224,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.912,22422.66,0.89,0.46,0.83,Approaching Target,0.86,Approaching Target,0.8,Approaching Target,0.82,Meeting Target,0.81,Approaching Target,0.89,Meeting Target,Approaching Target,2.19,2.2
744,,,,P.S. 269 NOSTRAND,332200010269,22K269,22,40.637617,-73.947663,"1957 NOSTRAND AVE BROOKLYN, NY 11210",BROOKLYN,11210,"03,04,05",3,5,No,0.741,46197.25,0.94,0.18,0.94,Meeting Target,0.73,Approaching Target,0.82,Meeting Target,0.63,Not Meeting Target,0.8,Approaching Target,0.72,Not Meeting Target,Approaching Target,2.09,2.06
750,,,,P.S. 041 FRANCIS WHITE,332300010041,23K041,23,40.660182,-73.906873,"411 THATFORD AVE BROOKLYN, NY 11212",BROOKLYN,11212,"0K,01,02,03,04,05,06,07,08",0K,8,No,0.9,29567.13,0.89,0.42,0.87,Approaching Target,0.88,Meeting Target,0.79,Approaching Target,0.81,Meeting Target,0.77,Not Meeting Target,0.87,Approaching Target,Approaching Target,2.14,2.13
752,,,,P.S. 150 CHRISTOPHER,332300010150,23K150,23,40.668635,-73.905086,"364 SACKMAN ST BROOKLYN, NY 11212",BROOKLYN,11212,"0K,01,02,03,04,05,SE",0K,5,No,0.948,16901.67,0.92,0.3,0.0,,0.87,,0.9,,0.89,,0.82,,0.91,,Approaching Target,1.97,2.02
753,,,,P.S./ I.S. 155 NICHOLAS HERKIMER,332300010155,23K155,23,40.677642,-73.908695,"1355 HERKIMER ST BROOKLYN, NY 11233",BROOKLYN,11233,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.877,36518.6,0.88,0.43,0.91,Meeting Target,0.96,Meeting Target,0.86,Approaching Target,0.88,Meeting Target,0.86,Meeting Target,0.95,Exceeding Target,Approaching Target,2.14,2.15
754,,,,P.S. 156 WAVERLY,332300010156,23K156,23,40.665297,-73.917884,"104 SUTTER AVE BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05",PK,5,Yes,0.857,34013.33,0.9,0.4,0.93,Meeting Target,0.93,Meeting Target,0.9,Approaching Target,0.85,Meeting Target,0.84,Meeting Target,0.96,Exceeding Target,Approaching Target,2.19,2.29
755,,,,P.S. 165 IDA POSNER,332300010165,23K165,23,40.657196,-73.910944,"76 LOTT AVE BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.815,34324.41,0.86,0.5,0.91,Approaching Target,0.89,Meeting Target,0.87,Approaching Target,0.81,Meeting Target,0.83,Meeting Target,0.92,Meeting Target,Approaching Target,2.12,2.01
757,,,,P.S. 184 NEWPORT,332300010184,23K184,23,40.660228,-73.904947,"273 NEWPORT ST BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08,SE",PK,8,No,0.904,29709.42,0.88,0.48,0.83,Approaching Target,0.8,Approaching Target,0.8,Approaching Target,0.72,Approaching Target,0.87,Meeting Target,0.86,Approaching Target,Approaching Target,2.17,2.21
758,,,,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",332300010284,23K284,23,40.666934,-73.90761,"213 OSBORN ST BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.906,20931.74,0.89,0.4,0.9,Meeting Target,0.87,Meeting Target,0.86,Approaching Target,0.8,Meeting Target,0.9,Exceeding Target,0.92,Meeting Target,Approaching Target,2.08,2.09
759,,,,P.S. 298 DR. BETTY SHABAZZ,332300010298,23K298,23,40.671012,-73.90774,"85 WATKINS ST BROOKLYN, NY 11212",BROOKLYN,11212,"0K,01,02,03,04,05",0K,5,Yes,0.933,23414.77,0.89,0.42,0.97,Meeting Target,0.94,Meeting Target,0.88,Approaching Target,0.83,Meeting Target,0.85,Meeting Target,0.92,Meeting Target,Not Meeting Target,1.97,1.97
761,,,,P.S. 327 DR. ROSE B. ENGLISH,332300010327,23K327,23,40.66798,-73.912085,"111 BRISTOL ST BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.851,32208.89,0.88,0.47,0.9,Approaching Target,0.82,Meeting Target,0.77,Approaching Target,0.65,Not Meeting Target,0.73,Not Meeting Target,0.76,Not Meeting Target,Approaching Target,2.17,1.98
762,,,,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,332300010363,23K363,23,40.671012,-73.90774,"85 WATKINS ST BROOKLYN, NY 11212",BROOKLYN,11212,"06,07,08",6,8,No,0.925,,0.87,0.42,0.79,Approaching Target,0.8,Meeting Target,0.85,Approaching Target,0.76,Approaching Target,0.8,Meeting Target,0.89,Meeting Target,Approaching Target,2.07,1.98
764,,,,CHRISTOPHER AVENUE COMMUNITY SCHOOL,332300010401,23K401,23,40.672333,-73.906225,"51 CHRISTOPHER AVE BROOKLYN, NY 11212",BROOKLYN,11212,"PK,0K,01,02,03,04,05",PK,5,No,0.944,23794.1,0.88,0.52,0.92,Meeting Target,0.82,Meeting Target,0.91,Approaching Target,0.68,Approaching Target,0.86,Meeting Target,0.88,Meeting Target,Meeting Target,2.13,2.19
770,,,,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),332300010664,23K664,23,40.680262,-73.91115,"251 MCDOUGAL ST BROOKLYN, NY 11233",BROOKLYN,11233,"06,07,08",6,8,No,0.837,,0.92,0.31,0.95,Meeting Target,0.98,Exceeding Target,0.91,Meeting Target,0.96,Exceeding Target,0.86,Exceeding Target,0.97,Exceeding Target,Approaching Target,2.09,1.96
771,,,,RIVERDALE AVENUE MIDDLE SCHOOL,332300010668,23K668,23,40.65997,-73.913616,"76 RIVERDALE AVE BROOKLYN, NY 11212",BROOKLYN,11212,"06,07,08",6,8,No,0.804,,0.92,0.27,0.97,Exceeding Target,0.91,Meeting Target,0.92,Exceeding Target,0.92,Exceeding Target,0.85,Meeting Target,0.93,Exceeding Target,Meeting Target,2.18,2.25
874,,,,P.S./M.S 042 R. VERNAM,342700010042,27Q042,27,40.594435,-73.794945,"488 BEACH 66TH ST ARVERNE, NY 11692",ARVERNE,11692,"0K,01,02,03,04,05,06,07,08",0K,8,Yes,0.825,47183.73,0.88,0.48,0.9,Approaching Target,0.86,Meeting Target,0.9,Approaching Target,0.77,Approaching Target,0.84,Meeting Target,0.89,Meeting Target,Approaching Target,2.03,1.99
878,,,,M.S. 053 BRIAN PICCOLO,342700010053,27Q053,27,40.603951,-73.749868,"10-45 NAMEOKE ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,"06,07,08",6,8,Yes,0.738,,0.9,0.37,0.88,Meeting Target,0.86,Meeting Target,0.88,Meeting Target,0.76,Approaching Target,0.76,Approaching Target,0.89,Meeting Target,Meeting Target,2.14,2.03
891,,,,P.S. 105 THE BAY SCHOOL,342700010105,27Q105,27,40.595904,-73.781257,"420 BEACH 51ST ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.897,26636.28,0.91,0.37,0.85,Approaching Target,0.86,Meeting Target,0.82,Approaching Target,0.76,Approaching Target,0.8,Approaching Target,0.88,Meeting Target,Meeting Target,2.21,2.22
892,,,,LIGHTHOUSE ELEMENTARY SCHOOL,342700010106,27Q106,27,40.594681,-73.767108,"180 BEACH 35TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,"PK,0K,01,02,03,04,05",PK,5,No,0.885,30838.56,0.9,0.43,0.68,Approaching Target,0.62,Approaching Target,0.65,Approaching Target,0.59,Not Meeting Target,0.77,Approaching Target,0.65,Approaching Target,Approaching Target,2.01,2.11
900,,,,P.S. 183 DR. RICHARD R. GREEN,342700010183,27Q183,27,40.588936,-73.805282,"2-45 BEACH 79TH ST ROCKAWAY BEACH, NY 11693",ROCKAWAY BEACH,11693,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.839,46342.01,0.9,0.43,0.83,Approaching Target,0.77,Approaching Target,0.82,Approaching Target,0.6,Not Meeting Target,0.79,Approaching Target,0.81,Approaching Target,Approaching Target,2.16,2.08
901,,,,P.S. 197 THE OCEAN SCHOOL,342700010197,27Q197,27,40.599988,-73.743995,"825 HICKSVILLE RD FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,"PK,0K,01,02,03,04,05,06",PK,6,Yes,0.76,31666.48,0.91,0.33,0.92,Approaching Target,0.89,Meeting Target,0.89,Approaching Target,0.83,Meeting Target,0.91,Exceeding Target,0.93,Meeting Target,Approaching Target,2.06,2.22
918,,,,VILLAGE ACADEMY,342700010319,27Q319,27,40.603951,-73.749868,"10-45 NAMEOKE ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,"06,07,08",6,8,No,0.75,,0.93,0.26,0.95,Exceeding Target,0.95,Exceeding Target,0.92,Meeting Target,0.94,Exceeding Target,0.86,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.16,2.18
922,,,,J.H.S. 008 RICHARD S. GROSSLEY,342800010008,28Q008,28,40.696913,-73.786396,"108-35 167TH ST JAMAICA, NY 11433",JAMAICA,11433,"06,07,08",6,8,Yes,0.694,,0.9,0.36,0.88,Approaching Target,0.9,Approaching Target,0.83,Approaching Target,0.74,Approaching Target,0.75,Approaching Target,0.87,Meeting Target,Meeting Target,2.21,2.14
937,,,,P.S. 140 EDWARD K ELLINGTON,342800010140,28Q140,28,40.689923,-73.783228,"116-00 166TH ST JAMAICA, NY 11434",JAMAICA,11434,"PK,0K,01,02,03,04,05,06",PK,6,No,0.674,49625.91,0.92,0.35,0.87,Meeting Target,0.86,Meeting Target,0.91,Meeting Target,0.72,Approaching Target,0.81,Approaching Target,0.83,Approaching Target,Approaching Target,2.19,2.25
995,,,,COLLABORATIVE ARTS MIDDLE SCHOOL,342900010355,29Q355,29,40.664858,-73.759088,"145-00 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,"06,07,08",6,8,No,0.557,,0.92,0.26,0.84,Meeting Target,0.91,Meeting Target,0.78,Approaching Target,0.9,Meeting Target,0.8,Meeting Target,0.89,Meeting Target,Approaching Target,2.21,2.13
996,,,,COMMUNITY VOICES MIDDLE SCHOOL,342900010356,29Q356,29,40.664858,-73.759088,"145-00 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,"06,07,08",6,8,No,0.547,,0.92,0.27,0.81,Meeting Target,0.85,Meeting Target,0.84,Meeting Target,0.87,Meeting Target,0.75,Approaching Target,0.9,Meeting Target,Approaching Target,2.24,2.13
1008,,,,P.S. 111 JACOB BLACKWELL,343000010111,30Q111,30,40.75855,-73.939237,"37-15 13TH ST LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.847,26289.11,0.89,0.45,0.87,Approaching Target,0.84,Approaching Target,0.84,Approaching Target,0.76,Approaching Target,0.78,Approaching Target,0.83,Approaching Target,Approaching Target,2.06,2.03
1043,,,,P.S. 016 JOHN J. DRISCOLL,353100010016,31R016,31,40.639729,-74.079582,"80 MONROE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,"PK,0K,01,02,03,04,05",PK,5,No,0.829,49651.7,0.92,0.3,0.95,Meeting Target,0.87,Meeting Target,0.9,Meeting Target,0.74,Approaching Target,0.83,Approaching Target,0.89,Meeting Target,Approaching Target,2.15,2.18
1056,,,,P.S. 031 WILLIAM T. DAVIS,353100010031,31R031,31,40.641954,-74.085457,"55 LAYTON AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,"PK,0K,01,02,03,04,05",PK,5,No,0.902,49054.18,0.9,0.41,0.89,Approaching Target,0.9,Meeting Target,0.89,Approaching Target,0.78,Meeting Target,0.85,Meeting Target,0.93,Meeting Target,Meeting Target,2.12,2.18
1065,,,,P.S. 044 THOMAS C. BROWN,353100010044,31R044,31,40.631586,-74.157068,"80 MAPLE PKWY STATEN ISLAND, NY 10303",STATEN ISLAND,10303,"PK,0K,01,02,03,04,05",PK,5,No,0.834,41056.56,0.91,0.37,0.89,Approaching Target,0.85,Meeting Target,0.87,Approaching Target,0.72,Approaching Target,0.81,Approaching Target,0.9,Meeting Target,Meeting Target,2.11,2.18
1087,,,,P.S. 78,353100010078,31R078,31,40.622418,-74.079229,"100 TOMPKINS AVE STATEN ISLAND, NY 10304",STATEN ISLAND,10304,"PK,0K,01,02,03,04,05",PK,5,Yes,0.884,38859.51,0.9,0.41,0.91,Approaching Target,0.9,Meeting Target,0.77,Not Meeting Target,0.85,Meeting Target,0.84,Meeting Target,0.94,Exceeding Target,,2.11,2.2
1097,,,,P.S. 151 LYNDON B. JOHNSON,333200010151,32K151,32,40.693371,-73.908233,"763 KNICKERBOCKER AVE BROOKLYN, NY 11237",BROOKLYN,11237,"PK,0K,01,02,03,04,05",PK,5,No,0.892,41236.54,0.93,0.28,0.84,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.78,Meeting Target,0.87,Meeting Target,0.89,Meeting Target,Approaching Target,2.02,2.1
1098,,,,J.H.S. 162 THE WILLOUGHBY,333200010162,32K162,32,40.706871,-73.92002,"1390 WILLOUGHBY AVE BROOKLYN, NY 11237",BROOKLYN,11237,"06,07,08",6,8,No,0.845,,0.91,0.31,0.89,Meeting Target,0.83,Meeting Target,0.84,Meeting Target,0.78,Approaching Target,0.77,Approaching Target,0.86,Approaching Target,Meeting Target,2.23,2.23
1100,,,,J.H.S. 291 ROLAND HAYES,333200010291,32K291,32,40.695648,-73.915406,"231 PALMETTO ST BROOKLYN, NY 11221",BROOKLYN,11221,"06,07,08",6,8,Yes,0.839,,0.89,0.36,0.96,Meeting Target,0.97,Exceeding Target,0.88,Meeting Target,0.89,Meeting Target,0.78,Meeting Target,0.93,Meeting Target,Meeting Target,2.17,2.1
1105,,,,P.S. 377 ALEJANDRINA B. DE GAUTIER,333200010377,32K377,32,40.693817,-73.914879,"200 WOODBINE ST BROOKLYN, NY 11221",BROOKLYN,11221,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.819,36894.07,0.91,0.32,0.9,Approaching Target,0.85,Meeting Target,0.85,Approaching Target,0.73,Approaching Target,0.81,Approaching Target,0.89,Meeting Target,Approaching Target,2.14,2.22
1109,,,,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,333200010562,32K562,32,40.688922,-73.91033,"125 COVERT ST BROOKLYN, NY 11207",BROOKLYN,11207,"06,07,08",6,8,No,0.848,,0.92,0.25,0.88,Meeting Target,0.95,Meeting Target,0.89,Meeting Target,0.92,Meeting Target,0.79,Meeting Target,0.95,Exceeding Target,Approaching Target,2.11,1.95
1119,,,,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,331600861003,84K360,16,40.675732,-73.935082,"1580 DEAN ST-3RD FL BROOKLYN, NY 11213",BROOKLYN,11213,"06,07,08,09,10,11,12",6,12,No,0.748,,0.95,0.13,0.8,Approaching Target,0.83,Meeting Target,0.8,Meeting Target,0.84,Meeting Target,0.78,Approaching Target,0.87,Approaching Target,Approaching Target,2.16,2.2
1184,,,,THE OPPORTUNITY CHARTER SCHOOL,310300860871,84M279,3,40.801651,-73.955295,"240 W 113TH ST-4TH FL NEW YORK, NY 10026",NEW YORK,10026,"06,07,08,09,10,11,12",6,12,No,0.758,,0.93,0.22,0.79,Approaching Target,0.69,Approaching Target,0.79,Meeting Target,0.7,Approaching Target,0.77,Meeting Target,0.82,Approaching Target,Approaching Target,2.13,2.01
1199,,,,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,310500860928,84M388,5,40.814949,-73.945808,"222 W 134TH ST-RM 111 NEW YORK, NY 10030",NEW YORK,10030,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.818,,0.95,0.05,0.87,Meeting Target,0.94,Exceeding Target,0.91,Exceeding Target,0.88,Meeting Target,0.82,Meeting Target,0.94,Exceeding Target,Approaching Target,2.13,2.29
1249,,,,BRONX CHARTER SCHOOL FOR CHILDREN,320700860852,84X407,7,40.812627,-73.919908,"388 WILLIS AVE BRONX, NY 10454",BRONX,10454,"0K,01,02,03,04,05",0K,5,No,0.862,23824.44,0.97,0.04,0.93,Meeting Target,0.92,Exceeding Target,0.88,Meeting Target,0.84,Meeting Target,0.85,Meeting Target,0.96,Exceeding Target,Approaching Target,2.21,2.29
1264,,,,NEW YORK CITY MONTESSORI CHARTER SCHOOL,320700861005,84X554,7,40.808913,-73.921746,"423 E 138TH ST BRONX, NY 10454",BRONX,10454,"0K,01,02,03,04,05",0K,5,No,0.838,25199.39,0.91,0.34,0.74,Approaching Target,0.83,Approaching Target,0.73,Approaching Target,0.77,Approaching Target,0.86,Meeting Target,0.91,Meeting Target,,2.02,2.27
